PMID,Title,Source,Doi,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Collective_Name,PubYear,PubMonth,PubDay,OriginalPubDate,Abstract,DOI,DOI_Link,PMC_ID,PMC_Link,MeSH_1,Keyword_1,MeSH_2,Keyword_2,MeSH_3,Keyword_3,MeSH_4,Keyword_4,MeSH_5,Keyword_5,MeSH_6,Keyword_6,MeSH_7,Keyword_7,MeSH_8,Keyword_8,MeSH_9,Keyword_9,MeSH_10,Keyword_10,MeSH_11,Keyword_11,MeSH_12,Keyword_12,MeSH_13,Keyword_13,MeSH_14,Keyword_14,MeSH_15,Keyword_15,MeSH_16,Keyword_16,MeSH_17,Keyword_17,MeSH_18,Keyword_18,MeSH_19,Keyword_19,MeSH_20,Keyword_20,MeSH_21,Keyword_21,MeSH_22,Keyword_22,MeSH_23,Keyword_23,MeSH_24,Keyword_24,MeSH_25,Keyword_25,MeSH_26,Keyword_26,MeSH_27,Keyword_27,MeSH_28,Keyword_28,MeSH_29,Keyword_29,MeSH_30,Keyword_30
"23835753","A multiphase fluidic platform for studying ventilator-induced injury of the pulmonary epithelial barrier.","Integr Biol (Camb)","","Nalayanda DD","Fulton WB","Wang TH","Abdullah F","","","","","","","","","","","","","","","","","","2013","Sep","","2013 Sep","Mechanical ventilation has been a critical part of basic life support for many years, with almost one-third of all patients in the intensive care unit requiring the aid. However studies over the past two decades have indicated that ventilators have the potential to cause or aggravate pulmonary injury. The lung with its anatomically complex architecture and unique amalgam of cell types and interfaces is very difficult to replicate in vitro. This study is focused on mimicking the distal unit of the alveolus in developing an analytical platform for evaluating cellular interactions and response to mechanostimulation. The prototype developed incorporates the ability to expose alveolar cells to sustained periods of supra-physiological pressure when cultured at an air-liquid interface with constant air-flow on the apical side and medium replenishment on basolateral surfaces. The in vitro evaluation of the alveolar, A549 and H441, cells indicated disruption of the cell layer integrity in response to sustained pressure application. The results indicate a magnitude- and duration-dependent response among both the cell types.","10.1039/c3ib40037a","https://doi.org/10.1039/c3ib40037a","","","Cell Line","","Cell Survival","","Epithelial Cells","","Humans","","Microfluidic Analytical Techniques","","Pulmonary Alveoli","","Respiration, Artificial","","Ventilator-Induced Lung Injury","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23881653","Partial liquid ventilation for preventing death and morbidity in adults with acute lung injury and acute respiratory distress syndrome.","Cochrane Database Syst Rev","","Galvin IM","Steel A","Pinto R","Ferguson ND","Davies MW","","","","","","","","","","","","","","","","","2013","Jul","23","2013 Jul 23","BACKGROUND: Acute lung injury (ALI) and acute respiratory distress syndrome (ARDS) are syndromes of severe respiratory failure that are associated with substantial mortality and morbidity. Artifical ventilatory support is commonly required and may exacerbate lung injury. Partial liquid ventilation (PLV) has been proposed as a less injurious form of ventilatory support for these patients. Although PLV has been shown to improve gas exchange and to reduce inflammation in experimental models of ALI, a previous systematic review did not find any evidence to support or refute its use in humans with ALI and ARDS. OBJECTIVES: The primary objective of this review was to assess whether PLV reduced mortality (at 28 d, at discharge from the intensive care unit (ICU), at discharge from hospital and at one, two and five years) in adults with ALI or ARDS when compared with conventional ventilatory support.Secondary objectives were to determine how PLV compared with conventional ventilation with regard to duration of invasive mechanical ventilation, duration of respiratory support, duration of oxygen therapy, length of ICU stay, length of hospital stay, incidence of infection, long-term cognitive impairment, long-term health related quality of life, long- term lung function, long-term morbidity costs and adverse events. The following adverse events were considered: hypoxia (arterial PO2 <80 mm Hg), pneumothorax (any air leak into the pleural space requiring therapeutic intervention), hypotension (systolic blood pressure < 90 mm Hg sustained for longer than two minutes or requiring treatment with fluids or vasoactive drugs), bradycardia (heart rate < 50 beats per minute sustained for longer than one minute or requiring therapeutic intervention) and cardiac arrest (absence of effective cardiac output). SEARCH METHODS: In this updated review, we searched the Cochrane Central Register of Controlled Trials (CENTRAL Issue 10, 2012, in The Cochrane Library; MEDLINE (Ovid SP, 1966 to November 2012); EMBASE (Ovid SP, 1980 to November 2012) and CINAHL (EBSCOhost,1982 to November 2012) for published studies. In our original review, we searched until May 2004.Grey literature was identified by searching conference proceedings and trial registries and by contacting experts in the field. SELECTION CRITERIA: As in the original review, review authors selected randomized controlled trials that compared PLV with other forms of ventilation in adults (16 y of age or older) with ALI or ARDS, reporting one or more of the following: mortality; duration of mechanical ventilation, respiratory support, oxygen therapy, stay in the intensive care unit or stay in hospital; infection; long-term cognitive impairment or health-related quality of life; long-term lung function or cost. DATA COLLECTION AND ANALYSIS: Two review authors independently evaluated the quality of the relevant studies and extracted the data from included studies. MAIN RESULTS: In this updated review, one new eligible study was identified and included, yielding a total of two eligible studies (including a combined total of 401 participants). Of those 401 participants, 170 received 'high'-dose partial liquid ventilation (i.e. a mean dose of at least 20 mL/kg), 99 received 'low-dose' partial liquid ventilation (i.e. a dose of 10 mL/kg) and 132 received conventional mechanical ventilation (CMV). Pooled estimates of effect were calculated for all those who received 'high'-dose PLV versus conventional ventilation. No evidence indicated that 'high'-dose PLV either reduced mortality at 28 d (risk ratio (RR) 1.21, 95% confidence interval (CI) 0.79 to 1.85, P = 0.37) or increased the number of days free of CMV at 28 d (mean difference (MD) -2.24, 95% CI -4.71 to 0.23, P = 0.08). The pooled estimate of effect for bradycardia in those who received PLV was significantly greater than in those who received CMV (RR 2.51, 95% CI 1.31 to 4.81, P = 0.005). Pooled estimates of effect for the following adverse events- hypoxia, pneumothorax, hypotension and cardiac arrest- all showed a nonsignificant trend towards a higher occurrence of these events in those treated with PLV. Because neither eligible study addressed morbidity or mortality beyond 28 d, it was not possible to determine the effect of PLV on these outcomes. AUTHORS' CONCLUSIONS: No evidence supports the use of PLV in ALI or ARDS; some evidence suggests an increased risk of adverse events associated with its use.","10.1002/14651858.CD003707.pub3","https://doi.org/10.1002/14651858.CD003707.pub3","PMC6516802","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6516802/","Acute Lung Injury","","Adult","","Humans","","Liquid Ventilation","","Morbidity","","Randomized Controlled Trials as Topic","","Respiratory Distress Syndrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24035400","Establishing functional residual capacity in the non-breathing infant.","Semin Fetal Neonatal Med","","Hooper SB","Siew ML","Kitchen MJ","te Pas AB","","","","","","","","","","","","","","","","","","2013","Dec","","2013 Dec","The transition to newborn life critically depends upon lung aeration and the onset of air-breathing, which triggers major cardiovascular changes required for postnatal life, including increases in pulmonary blood flow. Recent imaging studies indicate that lung aeration and functional residual capacity (FRC) recruitment results from inspiratory efforts, which create transpulmonary pressure gradients. During inspiration, these pressure gradients drive airway liquid movement through the conducting and into the distal airways where it crosses the pulmonary epithelium and enters the surrounding tissue. Although this process can occur rapidly (within 3-5 breaths), liquid clearance from lung tissue is much slower, resulting in oedema and increased interstitial tissue pressures, facilitating liquid re-entry into the airways at FRC. Whereas this liquid may be cleared during the next inspiration, liquid re-entry at FRC can be opposed by Na(+) reabsorption, oncotic pressures and expiratory braking manoeuvres. Recognition that transpulmonary pressure gradients mainly drive airway liquid clearance at birth has provided a clearer understanding of how this process may be facilitated in very preterm infants. In particular, it underpins the rationale for providing respiratory support that initially focuses on moving liquid through tubes (airways) rather than air. As the viscosity of liquid is much greater than air, the resistance to moving liquid is ≈ 100 times greater than air, necessitating the use of higher pressures or longer inflation times. Although it is unclear how this strategy could be safely applied clinically, it is clear that end-expiratory pressures are required to create and maintain FRC in preterm infants.","10.1016/j.siny.2013.08.011","https://doi.org/10.1016/j.siny.2013.08.011","","","Functional Residual Capacity","Airway liquid clearance","Humans","Functional residual capacity","Infant, Newborn","Lung aeration","Infant, Premature","Positive end-expiratory pressure","Positive-Pressure Respiration","Preterm birth","Respiration","Pulmonary ventilation","Respiration, Artificial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26083809","Opioid intoxications involving butyrfentanyl, 4-fluorobutyrfentanyl, and fentanyl from the Swedish STRIDA project.","Clin Toxicol (Phila)","","Bäckberg M","Beck O","Jönsson KH","Helander A","","","","","","","","","","","","","","","","","","2015","","","2015","BACKGROUND: The supply of unregulated ""new psychoactive substances"" (NPS) has shown a steady increase over the past six years. This report from the Swedish STRIDA project describes analytically confirmed non-fatal intoxications involving butyrfentanyl (butyrylfentanyl) or 4-fluorobutyrfentanyl (para-fluorobutyrfentanyl), two fentanyl analogues recently introduced as NPS opioids. STUDY DESIGN: Observational case series of consecutive patients with suspected acute NPS exposure and requiring hospital care from all over Sweden. PATIENTS AND METHODS: From May 2014 to January 2015, blood and urine samples were obtained from four intoxication cases involving butyrfentanyl and one case involving 4-fluorobutyrfentanyl (men, 19-30 years) presenting in emergency departments (ED) or intensive care units (ICU). Laboratory analysis of serum and/or urine samples was performed by multi-component liquid chromatography-mass spectrometry methods. Data on clinical features were collected during consultations with the Poisons Information Centre and retrieved from medical records. CASE DETAILS: Of the five patients, two were discharged home from the ED and three were admitted to the ICU, of whom two required intubation and mechanical ventilation. Clinical features included typical opioid symptoms such as unconsciousness, respiratory depression, and apnea. In one case, naloxone successfully countered the effects. All patients were discharged the same or the following day. Butyrfentanyl was detected in two serum (0.6 and 0.9 ng/mL) and three urine (2.0-65.6 ng/mL) samples from three of four cases; three cases also contained fentanyl. In the 4-fluorobutyrfentanyl case, the substance was detected in serum (∼15 ng/mL) and urine (∼10 ng/mL). In four cases, other NPS and/or classical drugs were also detected. Analysis of two ""butyrfentanyl"" NPS products (nasal spray and powder) brought to hospital by patients showed that the 10-fold more potent fentanyl was the main active ingredient (∼7.5-10-fold higher amount) in both. CONCLUSION: Typical and potentially life-threatening opioid toxicity was seen in acute intoxications involving butyrfentanyl, 4F-butyrfentanyl, and fentanyl. The incorrect labelling of butyrfentanyl NPS products which instead mainly contained fentanyl is alarming, given the narrow range between a safe and a lethal dose for opioids.","10.3109/15563650.2015.1054505","https://doi.org/10.3109/15563650.2015.1054505","","","Adult","Butyrfentanyl","Analgesics, Opioid","Butyrylfentanyl","Apnea","Fentanyl analogue","Chromatography, Liquid","Internet drugs","Dose-Response Relationship, Drug","Mass spectrometry methods","Emergency Service, Hospital","NPS","Fentanyl","New psychoactive substances","Humans","Opioid analgesic drug","Illicit Drugs","para-Fluorobutyrfentanyl","Intensive Care Units","","Male","","Mass Spectrometry","","Naloxone","","Respiratory Insufficiency","","Retrospective Studies","","Sweden","","Unconsciousness","","Young Adult","","","","","","","","","","","","","","","","","","","","","","","","",""
"26218862","Dexmedetomidine Pharmacology in Neonates and Infants After Open Heart Surgery.","Anesth Analg","","Su F","Gastonguay MR","Nicolson SC","DiLiberto M","Ocampo-Pelland A","Zuppa AF","","","","","","","","","","","","","","","","2016","May","","2016 May","BACKGROUND: Dexmedetomidine is a highly selective α2-agonist with hypnotic, analgesic, and anxiolytic properties. Despite off-label administration, dexmedetomidine has found a niche in critically ill neonates and infants with congenital heart disease because of its minimal effects on respiratory function at sedative doses, facilitating early extubation and fast-track postoperative care. There are little pharmacokinetic data regarding newborns who have immature drug metabolizing capacity and who are at risk for reduced dexmedetomidine clearance and drug toxicity. The aim of this study was to determine the pharmacokinetics of dexmedetomidine in neonates and infants after open heart surgery. This study included 23 evaluable neonates (age, 1 day-1 month) and 36 evaluable infants (age, 1 month-24 months) after open heart surgery. METHODS: Full-term neonates and infants requiring mechanical ventilation after open heart surgery received dexmedetomidine in a dose-escalation study. Dexmedetomidine was administered as a loading dose over 10 minutes followed by a continuous IV infusion up to 24 hours. Cohorts of 12 infants were enrolled sequentially to receive 0.35, 0.7, or 1 μg/kg dexmedetomidine followed by 0.25, 0.5, or 0.75 μg/kg/h dexmedetomidine, respectively. Cohorts of 9 neonates received 0.25, 0.35, or 0.5 μg/kg dexmedetomidine followed by 0.2, 0.3, or 0.4 μg/kg/h dexmedetomidine, respectively. Plasma dexmedetomidine concentrations were determined using a validated high-performance liquid chromatography-tandem mass spectrometry assay. A population nonlinear mixed effects modeling approach was used to characterize dexmedetomidine pharmacokinetics. RESULTS: Pharmacokinetic parameters of dexmedetomidine were estimated using a 2-compartment disposition model with weight allometrically scaled as a covariate on drug clearance, intercompartmental clearance, central and peripheral volume of distributions and age, total bypass time, and intracardiac shunting on clearance. Dexmedetomidine demonstrated a plasma drug clearance of 657 × (weight/70) mL/min, intercompartmental clearance of 6780 × (weight/70) mL/min, central volume of distribution of 88 × (weight/70) L and peripheral volume of distribution of 112 × (weight/70) L for a typical subject with age >1 month with a cardiopulmonary bypass time of 60 minutes and without right-to-left intracardiac shunt. Dexmedetomidine pharmacokinetics may be influenced by age during the neonatal period, weight, total bypass time, and presence of intracardiac shunt. CONCLUSIONS: Dexmedetomidine clearance is significantly diminished in full-term newborns and increases rapidly in the first few weeks of life. The dependence of clearance on age during the first few weeks of life reflects the relative immaturity of metabolic processes during the newborn period. Continuous infusions of up to 0.3 μg/kg/h in neonates and 0.75 μg/kg/h in infants were well tolerated after open heart surgery.","10.1213/ANE.0000000000000869","https://doi.org/10.1213/ANE.0000000000000869","","","Adrenergic alpha-2 Receptor Agonists","","Age Factors","","Analgesics, Non-Narcotic","","Cardiac Surgical Procedures","","Child, Preschool","","Chromatography, High Pressure Liquid","","Computer Simulation","","Dexmedetomidine","","Drug Administration Schedule","","Drug Dosage Calculations","","Drug Monitoring","","Heart Defects, Congenital","","Humans","","Hypnotics and Sedatives","","Infant","","Infant, Newborn","","Infusions, Intravenous","","Metabolic Clearance Rate","","Models, Biological","","Monte Carlo Method","","Nonlinear Dynamics","","Respiration, Artificial","","Tandem Mass Spectrometry","","Term Birth","","Treatment Outcome","","","","","","","","","","",""
"26277872","Effects of mild hypoalbuminemia on the pharmacokinetics and pharmacodynamics of dexmedetomidine in patients after major abdominal or thoracic surgery.","J Clin Anesth","","Zhang T","Deng Y","He P","He Z","Wang X","","","","","","","","","","","","","","","","","2015","Dec","","2015 Dec","STUDY OBJECTIVE: To explore the effects of mild hypoalbuminemia on pharmacokinetics and pharmacodynamics of dexmedetomidine in patients after major abdominal or thoracic surgery. DESIGN: A prospective cohort study. SETTING: University-affiliated teaching hospital. PATIENTS: The study was performed in 30 consecutive patients undergoing major abdominal or thoracic surgery. They were aged 18 to 65 years and graded as American Society of Anesthesiologists physical status I and II. All patients were scheduled to require more than 6 hours of postoperative sedation and mechanical ventilation. Nine of the patients had low plasma albumin levels (<35 g/L but >24 g/L; male/female, 6/3) after the operation, who were assigned to hypoalbuminemia group, and the remainder with normoalbuminemia (>35 g/L; male/female, 15/6) were assigned to normoalbuminemia group. INTERVENTIONS: All patients were administered a loading dose of dexmedetomidine 1.0 μg/kg infused over 10 minutes after admitted into intensive care unit and a maintenance dose of 0.4 μg/kg per hour followed for 6 hours. MEASUREMENTS: Plasma dexmedetomidine levels were determined by high performance liquid chromatography - mass spectrum. Sedation was evaluated using Ramsay sedation score. Heart rate and arterial pressures were monitored. Adverse events were recorded. MAIN RESULTS: Compared with patients with normoalbuminemia, maximum plasma concentration of dexmedetomidine decreased by 21.2% in patients with hypoalbuminemia (P < .01). Its volume of distribution at steady state increased by 40.5%; elimination half-life decreased by 33.5% (P < .01). However, heart rates, arterial pressures, and Ramsay sedation scores did not differ significantly between the 2 groups. No serious adverse events occurred in either the patients with hypoalbuminemia or normoalbuminemia. CONCLUSIONS: Sedation and adverse reactions of dexmedetomidine infusion did not differ significantly between patients with mild hypoalbuminemia and normoalbuminemia, although its volume of distribution at steady state increased and elimination half-life shortened in patients with hypoalbuminemia. This suggests that dexmedetomidine infusion can safely be used in mild hypoalbuminemia patients after major abdominal or thoracic surgery.","10.1016/j.jclinane.2015.06.002","https://doi.org/10.1016/j.jclinane.2015.06.002","","","Abdomen","Abdominal surgery","Adolescent","Dexmedetomidine","Adult","Hypoalbuminemia","Aged","Pharmacodynamics","Chromatography, High Pressure Liquid","Pharmacokinetics","Cohort Studies","Thoracic surgery","Dexmedetomidine","","Female","","Half-Life","","Hospitals, University","","Humans","","Hypnotics and Sedatives","","Hypoalbuminemia","","Intensive Care Units","","Male","","Mass Spectrometry","","Middle Aged","","Prospective Studies","","Respiration, Artificial","","Thoracic Surgical Procedures","","Tissue Distribution","","Young Adult","","","","","","","","","","","","","","","","",""
"26585557","Flubromazolam--A new life-threatening designer benzodiazepine.","Clin Toxicol (Phila)","","Łukasik-Głębocka M","Sommerfeld K","Teżyk A","Zielińska-Psuja B","Panieński P","Żaba C","","","","","","","","","","","","","","","","2016","","","2016","CONTEXT: In addition to designer benzodiazepines such as etizolam, deschloroetizolam, pyrazolam, diclazepam, nifoxipam, or clonazolam, a new psychoactive substance like flubromazolam, triazole of flubromazepam has become available. Flubromazolam is currently not marketed as a medication but rather as a research chemical and recreational drug. It mostly causes sedative effects but also has moderate anti-anxiety and muscle relaxant effects. A case of a severe intoxication of flubromazolam has been reported. CASE DETAILS: A 27-year-old man, presented with deep coma, bilateral pinpoint unreactive pupils, acute respiratory failure and hypotension, complicated by hypoxic ischemic changes in the central nervous system. A positive result of a urine screening test confirmed the presence of benzodiazepines, which resulted in administration of flumazenil and improved patient consciousness. Quantitative method of liquid chromatography indicated flubromazolam in the patient's serum at 59 ng/mL and urine at 105 ng/mL about 19 h after ingestion of 3 mg dose. On admission, serum creatine kinase was 15,960 U/L. The patient was treated with mechanical ventilation, intravenous fluids, flumazenil and continuous infusion of norepinephrine at a dose of 0.12 µg/kg/min. The patient survived and on the ninth day of hospitalization he was transferred to the Department of Neurology. DISCUSSION: Flubromazolam is a new designer drug. Recreational use may be a cause of prolonged, severe intoxication associated with coma, hypotension, and rhabdomyolysis.","10.3109/15563650.2015.1112907","https://doi.org/10.3109/15563650.2015.1112907","","","Adult","CNS","Antidotes","lung","Benzodiazepines","other","Coma","psychological","Combined Modality Therapy","respiratory support","Designer Drugs","","Drug Overdose","","Flumazenil","","Humans","","Hypotension","","Male","","Psychotropic Drugs","","Rhabdomyolysis","","Substance Abuse Detection","","Treatment Outcome","","Urinalysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26850293","Intoxications involving the fentanyl analogs acetylfentanyl, 4-methoxybutyrfentanyl and furanylfentanyl: results from the Swedish STRIDA project.","Clin Toxicol (Phila)","","Helander A","Bäckberg M","Beck O","","","","","","","","","","","","","","","","","","","2016","","","2016","BACKGROUND: Potent and potentially harmful new psychoactive substances (NPS) are continuously introduced on the recreational drugs market. This report from the Swedish STRIDA project describes analytically confirmed cases of intoxication involving the fentanyl analogs acetylfentanyl, 4-methoxybutyrfentanyl, and furanylfentanyl. METHODS: Patients with suspected NPS exposure presenting in emergency departments and intensive care units in Sweden and requiring hospital care are invited to the STRIDA project. Toxicological analysis of serum and urine samples was performed by multi-component liquid chromatographic-mass spectrometric methods. Data on clinical features were retrieved from telephone consultations with the Swedish Poisons Information Centre and from medical records. RESULTS: Between April and November 2015, 14 analytically confirmed intoxications involving acetylfentanyl (nine cases), 4-methoxybutyrfentanyl (3), furanylfentanyl (1), and 4-methoxybutyrfentanyl together with furanylfentanyl (1) were identified. The patients were aged 20-40 (mean 28.5) years and 86% were men. Twelve patients (86%) were admitted to intensive care, where two required intubation and mechanical ventilation. Typical clinical features were decreased consciousness, respiratory depression, and miosis. In eight cases, the antidote naloxone was administered to counter the effects. The serum acetylfentanyl concentration (N = 7) was 0.6-51.6 (mean 18.3 and median 14.8) ng/mL, and in urine (N = 8) 0.1-686 (mean 155 and median 66.6) ng/mmol creatinine. The serum 4-methoxybutyrfentanyl concentration (N = 2) was 1.3 and 3.1 ng/mL, and 5.1-51.3 ng/mmol creatinine in urine (N = 3). For furanylfentanyl, the serum concentrations were 4.4 and 148 ng/mL and in urine 9.2 and 85 ng/mmol creatinine, respectively. In 13 cases (93%), other NPS and/or classical drugs were also detected. Drug products brought to hospital by patients contained acetylfentanyl (nasal spray and pink tablet), 4-methoxybutyrfentanyl (green tablet), furanylfentanyl/traces of 4-methoxybutyrfentanyl (nasal spray), and 4-fluorobutyrfentanyl (purple tablet). CONCLUSION: Potentially life-threatening opioid toxicity was seen in acute intoxications involving acetylfentanyl, 4-methoxybutyrfentanyl, and furanylfentanyl. Intensive care treatment for one month was necessary in one acetylfentanyl case and one acetylfentanyl patient died from cerebral hemorrhage.","10.3109/15563650.2016.1139715","https://doi.org/10.3109/15563650.2016.1139715","","","Adult","4-fluorobutyrfentanyl","Analgesics, Opioid","4-methoxybutyrfentanyl","Female","Acetylfentanyl","Fentanyl","Internet drug","Humans","butyrfentanyl","Male","fentanyl analog","Psychotropic Drugs","furanylfentanyl","Referral and Consultation","mass spectrometry method","","new psychoactive substances","","opioid analgesic drug","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27107715","Regeneration of the lung: Lung stem cells and the development of lung mimicking devices.","Respir Res","","Schilders KA","Eenjes E","van Riet S","Poot AA","Stamatialis D","Truckenmüller R","Hiemstra PS","Rottier RJ","","","","","","","","","","","","","","2016","Apr","23","2016 Apr 23","Inspired by the increasing burden of lung associated diseases in society and an growing demand to accommodate patients, great efforts by the scientific community produce an increasing stream of data that are focused on delineating the basic principles of lung development and growth, as well as understanding the biomechanical properties to build artificial lung devices. In addition, the continuing efforts to better define the disease origin, progression and pathology by basic scientists and clinicians contributes to insights in the basic principles of lung biology. However, the use of different model systems, experimental approaches and readout systems may generate somewhat conflicting or contradictory results. In an effort to summarize the latest developments in the lung epithelial stem cell biology, we provide an overview of the current status of the field. We first describe the different stem cells, or progenitor cells, residing in the homeostatic lung. Next, we focus on the plasticity of the different cell types upon several injury-induced activation or repair models, and highlight the regenerative capacity of lung cells. Lastly, we summarize the generation of lung mimics, such as air-liquid interface cultures, organoids and lung on a chip, that are required to test emerging hypotheses. Moreover, the increasing collaboration between distinct specializations will contribute to the eventual development of an artificial lung device capable of assisting reduced lung function and capacity in human patients.","10.1186/s12931-016-0358-z","https://doi.org/10.1186/s12931-016-0358-z","PMC4842297","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4842297/","Animals","Lung","Bioartificial Organs","Lung mimics","Biomimetics","Regeneration","Humans","Stem cells","Lung","Tissue engineering","Lung Transplantation","","Regeneration","","Respiration, Artificial","","Stem Cell Transplantation","","Stem Cells","","Tissue Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28237918","Optimal Control of Inspired Perfluorocarbon Temperature for Ultrafast Hypothermia Induction by Total Liquid Ventilation in an Adult Patient Model.","IEEE Trans Biomed Eng","","Nadeau M","Sage M","Kohlhauer M","Mousseau J","Vandamme J","Fortin-Pellerin E","Praud JP","Tissier R","Walti H","Micheau P","","","","","","","","","","","","2017","Dec","","2017 Dec","GOAL: Recent preclinical studies have shown that therapeutic hypothermia induced in less than 30 min by total liquid ventilation (TLV) strongly improves the survival rate after cardiac arrest. When the lung is ventilated with a breathable perfluorocarbon liquid, the inspired perfluorocarbon allows us to control efficiently the cooling process of the organs. While TLV can rapidly cool animals, the cooling speed in humans remains unknown. The objective is to predict the efficiency and safety of ultrafast cooling by TLV in adult humans. METHODS: It is based on a previously published thermal model of ovines in TLV and the design of a direct optimal controller to compute the inspired perfluorocarbon temperature profile. The experimental results in an adult sheep are presented. The thermal model of sheep is subsequently projected to a human model to simulate the optimal hypothermia induction and its sensitivity to physiological parameter uncertainties. RESULTS: The results in the sheep showed that the computed inspired perfluorocarbon temperature command can avoid arterial temperature undershoot. The projection to humans revealed that mild hypothermia should be ultrafast (reached in fewer than 3 min (-72 °C/h) for the brain and 20 min (-10 °C/h) for the entire body). CONCLUSION: The projection to human model allows concluding that therapeutic hypothermia induction by TLV can be ultrafast and safe. SIGNIFICANCE: This study is the first to simulate ultrafast cooling by TLV in a human model and is a strong motivation to translate TLV to humans to improve the quality of life of postcardiac arrest patients.","10.1109/TBME.2017.2671741","https://doi.org/10.1109/TBME.2017.2671741","","","Adult","","Animals","","Brain","","Computer Simulation","","Fluorocarbons","","Heart Arrest","","Humans","","Hypothermia, Induced","","Liquid Ventilation","","Lung","","Models, Biological","","Sheep","","Temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29425465","Excess Mucin Impairs Subglottic Epithelial Host Defense in Mechanically Ventilated Patients.","Am J Respir Crit Care Med","","Powell J","Garnett JP","Mather MW","Cooles FAH","Nelson A","Verdon B","Scott J","Jiwa K","Ruchaud-Sparagano MH","Cummings SP","Perry JD","Wright SE","Wilson JA","Pearson J","Ward C","Simpson AJ","","","","","","2018","Aug","1","2018 Aug 1","RATIONALE: Aspiration of infective subglottic secretions causes ventilator-associated pneumonia (VAP) in mechanically ventilated patients. Mechanisms underlying subglottic colonization in critical illness have not been defined, limiting strategies for targeted prevention of VAP. OBJECTIVES: To characterize subglottic host defense dysfunction in mechanically ventilated patients in the ICU; to determine whether subglottic mucin contributes to neutrophil phagocytic impairment and bacterial growth. METHODS: Prospective subglottic sampling in mechanically ventilated patients (intubated for four or more days), and newly intubated control patients (intubated for less than 30 min); isolation and culture of primary subglottic epithelial cells from control patients; laboratory analysis of host innate immune defenses. MEASUREMENTS AND MAIN RESULTS: Twenty-four patients in the ICU and 27 newly intubated control patients were studied. Subglottic ICU samples had significantly reduced microbiological diversity and contained potential respiratory pathogens. The subglottic microenvironment in the ICU was characterized by neutrophilic inflammation, significantly increased proinflammatory cytokines and neutrophil proteases, and altered physical properties of subglottic secretions, including accumulation of mucins. Subglottic mucin from ICU patients impaired the capacity of neutrophils to phagocytose and kill bacteria. Phagocytic impairment was reversible on treatment with a mucolytic agent. Subglottic mucus promoted growth and invasion of bacterial pathogens in a novel air-liquid interface model of primary human subglottic epithelium. CONCLUSIONS: Mechanical ventilation in the ICU is characterized by substantial mucin secretion and neutrophilic inflammation. Mucin impairs neutrophil function and promotes bacterial growth. Mucolytic agents reverse mucin-mediated neutrophil dysfunction. Enhanced mucus disruption and removal has potential to augment preventive benefits of subglottic drainage.","10.1164/rccm.201709-1819OC","https://doi.org/10.1164/rccm.201709-1819OC","","","Adult","critical care","Aged","mucoproteins","Critical Illness","neutrophils","Female","phagocytosis","Glottis","ventilator-associated pneumonia","Humans","","Immunity, Innate","","Inflammation","","Male","","Middle Aged","","Mucins","","Neutrophils","","Prospective Studies","","Respiration, Artificial","","Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
